# clock,robot type,collected_food,average per 1000 steps
22000,RECRUITEE,55,2.5
23000,SOLITARY,22,0.956522
23000,RECRUITER,12,0.521739
23000,RECRUITEE,57,2.47826
24000,SOLITARY,23,0.958333
24000,RECRUITER,12,0.5
24000,RECRUITEE,59,2.45833
25000,SOLITARY,25,1
25000,RECRUITER,13,0.52
25000,RECRUITEE,64,2.56
26000,SOLITARY,25,0.961538
26000,RECRUITER,15,0.576923
26000,RECRUITEE,67,2.57692
27000,SOLITARY,26,0.962963
27000,RECRUITER,16,0.592593
27000,RECRUITEE,70,2.59259
28000,SOLITARY,26,0.928571
28000,RECRUITER,16,0.571429
28000,RECRUITEE,73,2.60714
29000,SOLITARY,27,0.931035
29000,RECRUITER,16,0.551724
29000,RECRUITEE,75,2.58621
30000,SOLITARY,28,0.933333
30000,RECRUITER,17,0.566667
30000,RECRUITEE,80,2.66667
31000,SOLITARY,29,0.935484
31000,RECRUITER,18,0.580645
31000,RECRUITEE,83,2.67742
32000,SOLITARY,29,0.90625
32000,RECRUITER,19,0.59375
32000,RECRUITEE,86,2.6875
33000,SOLITARY,31,0.939394
33000,RECRUITER,19,0.575758
33000,RECRUITEE,87,2.63636
34000,SOLITARY,32,0.941176
34000,RECRUITER,19,0.558824
34000,RECRUITEE,89,2.61765
35000,SOLITARY,32,0.914286
35000,RECRUITER,20,0.571429
35000,RECRUITEE,90,2.57143
36000,SOLITARY,32,0.888889
36000,RECRUITER,20,0.555556
36000,RECRUITEE,94,2.61111
37000,SOLITARY,34,0.918919
37000,RECRUITER,21,0.567568
37000,RECRUITEE,98,2.64865
38000,SOLITARY,34,0.894737
38000,RECRUITER,22,0.578947
38000,RECRUITEE,102,2.68421
39000,SOLITARY,35,0.897436
39000,RECRUITER,23,0.589744
39000,RECRUITEE,102,2.61538
40000,SOLITARY,36,0.9
40000,RECRUITER,24,0.6
40000,RECRUITEE,103,2.575
41000,SOLITARY,36,0.878049
41000,RECRUITER,24,0.585366
41000,RECRUITEE,107,2.60976
42000,SOLITARY,37,0.880952
42000,RECRUITER,24,0.571429
42000,RECRUITEE,107,2.54762
43000,SOLITARY,37,0.860465
43000,RECRUITER,26,0.604651
43000,RECRUITEE,110,2.55814
44000,SOLITARY,39,0.886364
44000,RECRUITER,26,0.590909
44000,RECRUITEE,113,2.56818
45000,SOLITARY,39,0.866667
45000,RECRUITER,26,0.577778
45000,RECRUITEE,117,2.6
46000,SOLITARY,41,0.891304
46000,RECRUITER,26,0.565217
46000,RECRUITEE,118,2.56522
47000,SOLITARY,41,0.87234
47000,RECRUITER,26,0.553191
47000,RECRUITEE,120,2.55319
48000,SOLITARY,41,0.854167
48000,RECRUITER,26,0.541667
48000,RECRUITEE,123,2.5625
49000,SOLITARY,42,0.857143
49000,RECRUITER,26,0.530612
49000,RECRUITEE,127,2.59184
50000,SOLITARY,42,0.84
50000,RECRUITER,28,0.56
50000,RECRUITEE,131,2.62
51000,SOLITARY,43,0.843137
51000,RECRUITER,29,0.568627
51000,RECRUITEE,134,2.62745
52000,SOLITARY,44,0.846154
52000,RECRUITER,29,0.557692
52000,RECRUITEE,139,2.67308
53000,SOLITARY,45,0.849057
53000,RECRUITER,29,0.54717
53000,RECRUITEE,142,2.67925
54000,SOLITARY,47,0.87037
54000,RECRUITER,31,0.574074
54000,RECRUITEE,142,2.62963
55000,SOLITARY,47,0.854545
55000,RECRUITER,31,0.563636
55000,RECRUITEE,145,2.63636
56000,SOLITARY,48,0.857143
56000,RECRUITER,31,0.553571
56000,RECRUITEE,148,2.64286
57000,SOLITARY,50,0.877193
57000,RECRUITER,31,0.54386
57000,RECRUITEE,152,2.66667
58000,SOLITARY,50,0.862069
58000,RECRUITER,32,0.551724
58000,RECRUITEE,155,2.67241
59000,SOLITARY,52,0.881356
59000,RECRUITER,33,0.559322
59000,RECRUITEE,155,2.62712
60000,SOLITARY,54,0.9
60000,RECRUITER,33,0.55
60000,RECRUITEE,158,2.63333
61000,SOLITARY,54,0.885246
61000,RECRUITER,35,0.57377
61000,RECRUITEE,159,2.60656
62000,SOLITARY,54,0.870968
62000,RECRUITER,35,0.564516
62000,RECRUITEE,160,2.58065
63000,SOLITARY,56,0.888889
63000,RECRUITER,37,0.587302
63000,RECRUITEE,161,2.55556
64000,SOLITARY,56,0.875
64000,RECRUITER,38,0.59375
64000,RECRUITEE,164,2.5625
65000,SOLITARY,58,0.892308
65000,RECRUITER,38,0.584615
65000,RECRUITEE,166,2.55385
66000,SOLITARY,59,0.893939
66000,RECRUITER,38,0.575758
66000,RECRUITEE,166,2.51515
67000,SOLITARY,59,0.880597
67000,RECRUITER,39,0.58209
67000,RECRUITEE,167,2.49254
68000,SOLITARY,60,0.882353
68000,RECRUITER,40,0.588235
68000,RECRUITEE,169,2.48529
69000,SOLITARY,61,0.884058
69000,RECRUITER,40,0.57971
69000,RECRUITEE,171,2.47826
70000,SOLITARY,62,0.885714
70000,RECRUITER,40,0.571429
70000,RECRUITEE,172,2.45714
71000,SOLITARY,63,0.887324
71000,RECRUITER,40,0.56338
71000,RECRUITEE,177,2.49296
72000,SOLITARY,63,0.875
72000,RECRUITER,40,0.555556
72000,RECRUITEE,180,2.5
73000,SOLITARY,64,0.876712
73000,RECRUITER,41,0.561644
73000,RECRUITEE,183,2.50685
74000,SOLITARY,64,0.864865
74000,RECRUITER,42,0.567568
74000,RECRUITEE,186,2.51351
75000,SOLITARY,65,0.866667
75000,RECRUITER,42,0.56
75000,RECRUITEE,187,2.49333
76000,SOLITARY,66,0.868421
76000,RECRUITER,42,0.552632
76000,RECRUITEE,188,2.47368
77000,SOLITARY,69,0.896104
77000,RECRUITER,43,0.558442
77000,RECRUITEE,190,2.46753
78000,SOLITARY,69,0.884615
78000,RECRUITER,44,0.564103
78000,RECRUITEE,190,2.4359
79000,SOLITARY,70,0.886076
79000,RECRUITER,44,0.556962
79000,RECRUITEE,192,2.43038
80000,SOLITARY,71,0.8875
80000,RECRUITER,44,0.55
80000,RECRUITEE,196,2.45
81000,SOLITARY,72,0.888889
81000,RECRUITER,44,0.54321
81000,RECRUITEE,197,2.4321
82000,SOLITARY,72,0.878049
82000,RECRUITER,45,0.548781
82000,RECRUITEE,199,2.42683
83000,SOLITARY,75,0.903614
83000,RECRUITER,46,0.554217
83000,RECRUITEE,202,2.43373
84000,SOLITARY,75,0.892857
84000,RECRUITER,46,0.547619
84000,RECRUITEE,205,2.44048
85000,SOLITARY,76,0.894118
85000,RECRUITER,46,0.541176
85000,RECRUITEE,205,2.41176
86000,SOLITARY,78,0.906977
86000,RECRUITER,47,0.546512
86000,RECRUITEE,208,2.4186
87000,SOLITARY,79,0.908046
87000,RECRUITER,47,0.54023
87000,RECRUITEE,210,2.41379
88000,SOLITARY,80,0.909091
88000,RECRUITER,48,0.545455
88000,RECRUITEE,213,2.42045
89000,SOLITARY,81,0.910112
89000,RECRUITER,49,0.550562
89000,RECRUITEE,216,2.42697
90000,SOLITARY,82,0.911111
90000,RECRUITER,49,0.544444
90000,RECRUITEE,218,2.42222
91000,SOLITARY,84,0.923077
91000,RECRUITER,49,0.538462
91000,RECRUITEE,221,2.42857
92000,SOLITARY,84,0.913043
92000,RECRUITER,49,0.532609
92000,RECRUITEE,224,2.43478
93000,SOLITARY,85,0.913979
93000,RECRUITER,49,0.526882
93000,RECRUITEE,229,2.46237
94000,SOLITARY,85,0.904255
94000,RECRUITER,50,0.531915
94000,RECRUITEE,232,2.46809
95000,SOLITARY,86,0.905263
95000,RECRUITER,50,0.526316
95000,RECRUITEE,235,2.47368
96000,SOLITARY,88,0.916667
96000,RECRUITER,50,0.520833
96000,RECRUITEE,238,2.47917
97000,SOLITARY,90,0.927835
97000,RECRUITER,52,0.536082
97000,RECRUITEE,239,2.46392
98000,SOLITARY,91,0.928571
98000,RECRUITER,53,0.540816
98000,RECRUITEE,242,2.46939
99000,SOLITARY,92,0.929293
99000,RECRUITER,54,0.545455
99000,RECRUITEE,247,2.49495
100000,SOLITARY,92,0.92
100000,RECRUITER,54,0.54
100000,RECRUITEE,248,2.48
